"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 12:00","2022","01","01","12:00","3.6","","3.2","","97","","","","3","","14","","11.3","","97.91","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 13:00","2022","01","01","13:00","3.4","","2.6","","94","","","","2","","21","","11.3","","97.83","","","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 14:00","2022","01","01","14:00","2.7","","1.4","","91","","","","3","","13","","19.3","","97.87","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 15:00","2022","01","01","15:00","2.4","","0.6","","88","","","","1","","19","","19.3","","97.91","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 16:00","2022","01","01","16:00","2.0","","0.1","","88","","","","4","","19","","19.3","","97.88","","","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 17:00","2022","01","01","17:00","1.2","","-0.9","","86","","","","2","","21","","19.3","","97.97","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 18:00","2022","01","01","18:00","0.4","","-1.3","","89","","","","2","","17","","14.5","","97.95","","","","","","Ice Pellets"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 19:00","2022","01","01","19:00","-0.1","","-1.2","","92","","","","1","","21","","4.8","","97.99","","","","-6","","Snow,Ice Pellets"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 20:00","2022","01","01","20:00","-0.7","","-1.3","","96","","","","1","","23","","3.2","","97.96","","","","-7","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 21:00","2022","01","01","21:00","-1.1","","-1.7","","95","","","","2","","24","","2.4","","97.94","","","","-7","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 22:00","2022","01","01","22:00","-1.6","","-2.2","","95","","","","1","","20","","2.0","","97.93","","","","-7","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 23:00","2022","01","01","23:00","-2.1","","-2.8","","95","","","","2","","25","","2.0","","97.92","","","","-9","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 00:00","2022","01","02","00:00","-2.6","","-3.4","","94","","","","2","","20","","1.6","","97.95","","","","-9","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 01:00","2022","01","02","01:00","-3.2","","-4.2","","93","","","","3","","30","","2.0","","97.92","","","","-11","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 02:00","2022","01","02","02:00","-3.9","","-5.1","","91","","","","2","","29","","4.0","","97.90","","","","-11","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 03:00","2022","01","02","03:00","-4.0","","-5.4","","90","","","","2","","21","","4.0","","97.92","","","","-10","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 04:00","2022","01","02","04:00","-4.2","","-5.9","","88","","","","2","","30","","4.8","","97.91","","","","-12","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 05:00","2022","01","02","05:00","-4.6","","-6.2","","89","","","","1","","20","","4.0","","97.96","","","","-11","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 06:00","2022","01","02","06:00","-5.0","","-6.8","","87","","","","36","","22","","4.8","","97.99","","","","-12","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 07:00","2022","01","02","07:00","-5.1","","-6.9","","88","","","","1","","21","","4.8","","98.09","","","","-12","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 08:00","2022","01","02","08:00","-4.9","","-7.6","","81","","","","36","","19","","12.9","","98.17","","","","-11","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 09:00","2022","01","02","09:00","-5.4","","-8.0","","82","","","","36","","18","","9.7","","98.25","","","","-12","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 10:00","2022","01","02","10:00","-5.8","","-7.8","","86","","","","2","","18","","4.8","","98.33","","","","-12","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 11:00","2022","01","02","11:00","-5.5","","-7.5","","85","","","","36","","11","","11.3","","98.40","","","","-10","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 12:00","2022","01","02","12:00","-5.1","","-8.3","","78","","","","35","","14","","16.1","","98.46","","","","-10","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 13:00","2022","01","02","13:00","-5.3","","-8.5","","79","","","","33","","19","","4.0","","98.56","","","","-12","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 14:00","2022","01","02","14:00","-5.3","","-8.6","","78","","","","35","","13","","4.8","","98.62","","","","-10","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 15:00","2022","01","02","15:00","-5.1","","-10.3","","67","","","","34","","13","","24.1","","98.66","","","","-10","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 16:00","2022","01","02","16:00","-5.4","","-11.1","","64","","","","34","","10","","24.1","","98.82","","","","-10","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 17:00","2022","01","02","17:00","-5.9","","-11.1","","67","","","","30","","13","","24.1","","98.98","","","","-11","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 18:00","2022","01","02","18:00","-6.5","","-10.8","","72","","","","30","","11","","24.1","","99.10","","","","-11","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 19:00","2022","01","02","19:00","-8.2","","-12.2","","73","","","","33","","18","","24.1","","99.17","","","","-15","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 20:00","2022","01","02","20:00","-9.6","","-12.8","","77","","","","32","","11","","24.1","","99.29","","","","-15","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 21:00","2022","01","02","21:00","-10.2","","-13.5","","77","","","","32","","14","","24.1","","99.31","","","","-17","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 22:00","2022","01","02","22:00","-11.2","","-14.1","","79","","","","33","","15","","24.1","","99.36","","","","-18","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-02 23:00","2022","01","02","23:00","-11.7","","-14.8","","78","","","","32","","10","","24.1","","99.32","","","","-17","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 00:00","2022","01","03","00:00","-12.4","","-14.8","","83","","","","28","","10","","24.1","","99.40","","","","-18","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 01:00","2022","01","03","01:00","-14.2","","-15.6","","89","","","","35","","5","","24.1","","99.41","","","","-18","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 02:00","2022","01","03","02:00","-12.8","","-14.9","","84","","","","35","","9","","24.1","","99.52","","","","-18","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 03:00","2022","01","03","03:00","-14.1","","-15.2","","91","","","","1","","7","","24.1","","99.63","","","","-19","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 04:00","2022","01","03","04:00","-13.7","","-15.6","","86","","","","1","","12","","24.1","","99.71","","","","-20","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 05:00","2022","01","03","05:00","-14.0","","-16.2","","84","","","","2","","13","","24.1","","99.68","","","","-21","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 06:00","2022","01","03","06:00","-13.8","","-16.1","","83","","","","1","","16","","24.1","","99.61","","","","-22","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 07:00","2022","01","03","07:00","-14.1","","-17.6","","75","","","","2","","15","","24.1","","99.63","","","","-22","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 08:00","2022","01","03","08:00","-14.6","","-18.1","","75","","","","5","","10","","24.1","","99.62","","","","-21","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 09:00","2022","01","03","09:00","-12.9","","-15.3","","82","","","","5","","9","","24.1","","99.75","","","","-18","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 10:00","2022","01","03","10:00","-10.1","","-13.4","","77","","","","5","","10","","24.1","","99.83","","","","-15","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 11:00","2022","01","03","11:00","-8.7","","-12.5","","74","","","","5","","18","","24.1","","99.79","","","","-16","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 12:00","2022","01","03","12:00","-8.2","","-13.3","","67","","","","5","","13","","24.1","","99.74","","","","-14","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 13:00","2022","01","03","13:00","-7.3","","-13.1","","63","","","","36","","2","","24.1","","99.68","","","","-8","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 14:00","2022","01","03","14:00","-6.7","","-13.3","","60","","","","0","","1","","24.1","","99.69","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 15:00","2022","01","03","15:00","-6.9","","-13.9","","58","","","","36","","3","","24.1","","99.68","","","","-8","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 16:00","2022","01","03","16:00","-7.1","","-13.1","","63","","","","17","","11","","24.1","","99.67","","","","-12","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 17:00","2022","01","03","17:00","-9.1","","-13.9","","68","","","","18","","9","","24.1","","99.66","","","","-14","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 18:00","2022","01","03","18:00","-10.8","","-14.3","","76","","","","22","","8","","24.1","","99.70","","","","-15","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 19:00","2022","01","03","19:00","-10.8","","-14.1","","77","","","","22","","7","","24.1","","99.74","","","","-15","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 20:00","2022","01","03","20:00","-10.9","","-14.2","","77","","","","19","","9","","24.1","","99.72","","","","-16","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 21:00","2022","01","03","21:00","-11.1","","-13.8","","80","","","","20","","8","","24.1","","99.67","","","","-16","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 22:00","2022","01","03","22:00","-11.6","","-13.7","","85","","","","22","","12","","24.1","","99.62","","","","-18","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-03 23:00","2022","01","03","23:00","-9.3","","-11.8","","82","","","","23","","19","","24.1","","99.61","","","","-17","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 00:00","2022","01","04","00:00","-8.3","","-11.4","","78","","","","23","","18","","24.1","","99.59","","","","-15","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 01:00","2022","01","04","01:00","-7.9","","-10.8","","80","","","","23","","18","","24.1","","99.53","","","","-15","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 02:00","2022","01","04","02:00","-8.8","","-11.1","","84","","","","22","","16","","24.1","","99.52","","","","-16","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 03:00","2022","01","04","03:00","-6.3","","-9.6","","78","","","","22","","20","","24.1","","99.48","","","","-13","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 04:00","2022","01","04","04:00","-7.0","","-9.6","","82","","","","23","","18","","24.1","","99.46","","","","-14","","Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 05:00","2022","01","04","05:00","-6.5","","-9.4","","80","","","","23","","19","","24.1","","99.45","","","","-13","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 06:00","2022","01","04","06:00","-6.0","","-10.0","","73","","","","24","","17","","24.1","","99.49","","","","-12","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 07:00","2022","01","04","07:00","-6.3","","-10.6","","72","","","","24","","16","","24.1","","99.51","","","","-12","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 08:00","2022","01","04","08:00","-6.7","","-10.8","","73","","","","24","","18","","24.1","","99.51","","","","-13","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 09:00","2022","01","04","09:00","-4.8","","-9.6","","69","","","","25","","21","","24.1","","99.51","","","","-11","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 10:00","2022","01","04","10:00","-3.4","","-8.2","","69","","","","24","","22","","24.1","","99.49","","","","-10","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 11:00","2022","01","04","11:00","-1.6","","-6.0","","72","","","","23","","23","","24.1","","99.44","","","","-8","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 12:00","2022","01","04","12:00","-0.3","","-4.3","","74","","","","23","","28","","24.1","","99.31","","","","-7","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 13:00","2022","01","04","13:00","0.8","","-3.6","","73","","","","23","","29","","24.1","","99.20","","","","","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 14:00","2022","01","04","14:00","1.3","","-3.7","","69","","","","21","","23","","24.1","","99.08","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 15:00","2022","01","04","15:00","0.4","","-3.1","","77","","","","20","","21","","24.1","","99.03","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 16:00","2022","01","04","16:00","-0.5","","-4.1","","76","","","","20","","21","","24.1","","98.98","","","","-6","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 17:00","2022","01","04","17:00","-0.9","","-5.0","","74","","","","21","","18","","24.1","","98.92","","","","-6","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 18:00","2022","01","04","18:00","-1.7","","-5.0","","78","","","","20","","10","","24.1","","98.85","","","","-5","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 19:00","2022","01","04","19:00","-1.9","","-5.1","","78","","","","26","","3","","24.1","","98.78","","","","-3","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 20:00","2022","01","04","20:00","-2.2","","-5.3","","79","","","","16","","12","","24.1","","98.69","","","","-6","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 21:00","2022","01","04","21:00","-0.8","","-5.4","","71","","","","17","","15","","24.1","","98.54","","","","-5","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 22:00","2022","01","04","22:00","-0.6","","-5.0","","72","","","","18","","13","","24.1","","98.44","","","","-5","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-04 23:00","2022","01","04","23:00","0.1","","-4.6","","71","","","","17","","13","","24.1","","98.27","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 00:00","2022","01","05","00:00","0.1","","-4.3","","73","","","","18","","10","","24.1","","98.19","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 01:00","2022","01","05","01:00","1.1","","-3.5","","71","","","","18","","17","","24.1","","98.02","","","","","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 02:00","2022","01","05","02:00","1.7","","-3.1","","70","","","","19","","18","","24.1","","97.86","","","","","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 03:00","2022","01","05","03:00","2.1","","-2.5","","72","","","","19","","20","","24.1","","97.77","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 04:00","2022","01","05","04:00","2.5","","-2.4","","70","","","","20","","25","","24.1","","97.61","","","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 05:00","2022","01","05","05:00","2.7","","-2.4","","69","","","","20","","35","","24.1","","97.45","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 06:00","2022","01","05","06:00","3.0","","-2.5","","67","","","","21","","35","","24.1","","97.36","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 07:00","2022","01","05","07:00","3.2","","-2.1","","68","","","","21","","36","","24.1","","97.33","","","","","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 08:00","2022","01","05","08:00","3.1","","-2.1","","69","","","","20","","37","","24.1","","97.26","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 09:00","2022","01","05","09:00","2.9","","-1.4","","73","","","","21","","35","","24.1","","97.21","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 10:00","2022","01","05","10:00","3.0","","-1.0","","75","","","","20","","35","","24.1","","97.21","","","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 11:00","2022","01","05","11:00","2.7","","-0.5","","80","","","","21","","31","","24.1","","97.19","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 12:00","2022","01","05","12:00","2.6","","-0.2","","81","","","","22","","32","","24.1","","97.09","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 13:00","2022","01","05","13:00","1.8","","0.5","","91","","","","22","","26","","12.9","","97.03","","","","","","Rain,Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 14:00","2022","01","05","14:00","1.8","","0.1","","89","","","","22","","37","","16.1","","96.98","","","","","","Rain,Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 15:00","2022","01","05","15:00","2.0","","-0.6","","83","","","","22","","36","","24.1","","96.98","","","","","","Rain"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 16:00","2022","01","05","16:00","0.8","","-2.3","","79","","","","22","","49","","24.1","","97.02","","","","","","Rain"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 17:00","2022","01","05","17:00","-0.4","","-4.2","","76","","","","24","","41","","24.1","","97.13","","","","-8","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 18:00","2022","01","05","18:00","-1.0","","-5.2","","73","","","","24","","50","","24.1","","97.26","","","","-10","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 19:00","2022","01","05","19:00","-2.1","","-6.2","","74","","","","24","","43","","19.3","","97.36","","","","-10","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 20:00","2022","01","05","20:00","-3.1","","-7.5","","72","","","","24","","34","","16.1","","97.47","","","","-11","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 21:00","2022","01","05","21:00","-3.2","","-7.8","","71","","","","25","","29","","19.3","","97.54","","","","-11","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 22:00","2022","01","05","22:00","-4.0","","-8.9","","69","","","","25","","34","","19.3","","97.55","","","","-12","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-05 23:00","2022","01","05","23:00","-4.8","","-8.7","","74","","","","25","","30","","19.3","","97.65","","","","-13","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 00:00","2022","01","06","00:00","-6.2","","-11.5","","67","","","","25","","36","","24.1","","97.76","","","","-15","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 01:00","2022","01","06","01:00","-7.3","","-11.8","","70","","","","24","","36","","24.1","","97.81","","","","-17","","Mainly Clear"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 02:00","2022","01","06","02:00","-7.9","","-12.3","","71","","","","24","","41","","24.1","","97.91","","","","-18","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 03:00","2022","01","06","03:00","-7.7","","-11.6","","74","","","","23","","35","","24.1","","98.08","","","","-17","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 04:00","2022","01","06","04:00","-8.2","","-11.8","","75","","","","24","","23","","24.1","","98.06","","","","-16","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 05:00","2022","01","06","05:00","-8.5","","-12.0","","76","","","","24","","33","","24.1","","98.14","","","","-18","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 06:00","2022","01","06","06:00","-8.4","","-11.6","","78","","","","24","","29","","24.1","","98.18","","","","-17","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 07:00","2022","01","06","07:00","-7.8","","-10.9","","78","","","","24","","25","","24.1","","98.24","","","","-16","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 08:00","2022","01","06","08:00","-7.6","","-10.8","","78","","","","24","","34","","24.1","","98.27","","","","-17","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 09:00","2022","01","06","09:00","-7.1","","-10.2","","78","","","","25","","28","","24.1","","98.32","","","","-15","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 10:00","2022","01","06","10:00","-6.4","","-9.8","","77","","","","24","","25","","24.1","","98.39","","","","-14","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 11:00","2022","01","06","11:00","-5.5","","-9.3","","75","","","","24","","23","","24.1","","98.42","","","","-13","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 12:00","2022","01","06","12:00","-5.7","","-9.1","","77","","","","24","","28","","19.3","","98.38","","","","-14","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 13:00","2022","01","06","13:00","-3.9","","-8.1","","73","","","","26","","24","","24.1","","98.34","","","","-11","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 14:00","2022","01","06","14:00","-3.3","","-7.6","","72","","","","26","","23","","24.1","","98.26","","","","-10","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 15:00","2022","01","06","15:00","-5.0","","-8.9","","74","","","","27","","25","","24.1","","98.33","","","","-12","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 16:00","2022","01","06","16:00","-5.2","","-9.1","","74","","","","26","","19","","24.1","","98.34","","","","-12","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 17:00","2022","01","06","17:00","-5.8","","-9.3","","77","","","","25","","14","","24.1","","98.35","","","","-11","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 18:00","2022","01","06","18:00","-6.5","","-9.5","","80","","","","24","","10","","24.1","","98.34","","","","-11","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 19:00","2022","01","06","19:00","-6.7","","-9.3","","82","","","","22","","12","","24.1","","98.36","","","","-12","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 20:00","2022","01","06","20:00","-6.3","","-9.1","","81","","","","25","","10","","24.1","","98.34","","","","-11","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 21:00","2022","01","06","21:00","-6.1","","-8.7","","82","","","","25","","13","","24.1","","98.33","","","","-11","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 22:00","2022","01","06","22:00","-5.9","","-8.6","","82","","","","26","","16","","24.1","","98.30","","","","-12","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-06 23:00","2022","01","06","23:00","-5.9","","-8.3","","83","","","","25","","14","","19.3","","98.30","","","","-11","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-07 00:00","2022","01","07","00:00","-6.0","","-8.6","","82","","","","27","","10","","19.3","","98.28","","","","-10","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-07 01:00","2022","01","07","01:00","-6.1","","-8.7","","82","","","","27","","12","","24.1","","98.22","","","","-11","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-07 02:00","2022","01","07","02:00","-7.2","","-9.5","","84","","","","27","","12","","19.3","","98.22","","","","-13","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-07 03:00","2022","01","07","03:00","-7.5","","-9.6","","85","","","","27","","15","","19.3","","98.29","","","","-14","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-07 04:00","2022","01","07","04:00","-8.4","","-10.2","","87","","","","26","","11","","24.1","","98.30","","","","-14","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-07 05:00","2022","01","07","05:00","-8.6","","-10.4","","87","","","","24","","12","","19.3","","98.31","","","","-14","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-07 06:00","2022","01","07","06:00","-7.2","","-9.9","","81","","","","29","","23","","24.1","","98.37","","","","-15","","Snow"
"-79.94","43.17","HAMILTON A","6153193","2022-01-07 07:00","2022","01","07","07:00","-7.3","","-10.0","","82","","","","28","","14","","24.1","","98.46","","","","-13","","Mostly Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-07 08:00","2022","01","07","08:00","-8.9","","-11.4","","82","","","","30","","13","","24.1","","98.57","","","","-15","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-07 09:00","2022","01","07","09:00","-9.4","","-13.2","","74","","","","27","","14","","24.1","","98.71","","","","-16","","NA"
